employee_id,department,salary,performance_score,attrition_flag,joining_date,location,manager_id
EMP-01J784KO,Finance,,3.49,0,2021-08-03,New York,MGR-4QXMUCZZ
EMP-OCGUAE0C,Mktg,74790.88,3.76,0,2018-10-05,Seattle,MGR-TFXCKZIS
EMP-VVJ0N2H7,human resources,66580.63,,0,2018-05-24,Seattle,MGR-XRIFGJUD
EMP-8A9HJXT0,Engineering,117976.23,4.31,1,2021-05-22,Chicago,MGR-723MHR9Q
EMP-Y7SHP59M,MARKETING,75067.85,4.59,0,2020-05-26,New York,MGR-PZSWONN7
EMP-D2IPE7YK,Product Management,115394.32,,0,2018-02-03,Denver,MGR-I44JDH69
EMP-RXPUGWVJ,Tech,134375.74,,1,2020-05-05,San Francisco,MGR-2PCK4PXH
EMP-MSWGLKSS,Tech,,2.71,0,2019-05-27,Austin,MGR-XESBR31J
EMP-TUQAJELI,accounts,76764.74,2.8,0,2019-04-05,Austin,MGR-VA707SLR
EMP-AE0JXYO6,H R,49798.67,,0,2022-09-01,New York,MGR-8J3DR0YG
EMP-P9UW165A,Sales,,3.8,0,2018-05-20,San Francisco,MGR-O8BYVPJG
EMP-WVTOYZ60,technology,85281.86,4.41,0,2019-01-30,Chicago,MGR-IVI7KX3N
EMP-UB61ZS4E,technology,95712.1,3.95,0,2022-04-04,New York,MGR-QW7U6FE7
EMP-LYLEWFVB,Accounts,96286.76,3.12,0,2021-08-25,Remote,MGR-V9N884PK
EMP-7TQGDST7,sales,89248.5,3.12,0,2019-06-02,San Francisco,MGR-W0GYAA3M
EMP-TA9N7Y12,finance,80759.11,3.61,0,2020-10-16,Austin,MGR-Y4CKQJC1
EMP-1DTRB6LX,Sales,97069.08,2.68,1,2019-06-27,Seattle,MGR-77JYP1NQ
EMP-VMLJEKBV,sales team,60297.57,4.07,0,2020-11-27,New York,MGR-IOGGG0JM
EMP-U7TJQ2JU,Marketing,79225.37,4.49,0,2022-06-04,Boston,MGR-FMHR9EU8
EMP-5F3FICLR,engineering,109458.88,4.69,0,2020-10-01,Remote,MGR-UI1JZGYC
EMP-KS8WSPF1,legal,95321.0,,0,2019-01-03,Denver,MGR-GCJP1BZ6
EMP-0EWRJIWM,FINANCE,72579.22,4.69,0,2021-02-21,Austin,MGR-ODCU5O0Q
EMP-MCJ1MK92,FINANCE,122078.89,3.5,0,2022-06-24,New York,MGR-26T2E6I1
EMP-08HGLJ0H,hr,47693.81,2.7,1,2018-06-10,New York,
EMP-4QX1CLMM,accounts,136836.85,2.39,0,2018-06-17,Remote,MGR-3X3Q11L0
EMP-UZK3VJE6,sales,97483.85,4.69,0,2018-11-03,Seattle,MGR-OYSTDHYI
EMP-5L1P1DHD,Finance,59520.44,4.8,0,2021-11-15,New York,MGR-B3BA6HVE
EMP-PS4INCO8,Tech,222811.19,3.16,1,2019-11-15,rEMOTE,MGR-ED33DAIA
EMP-X0AEY908,sales team,91631.06,4.16,0,2019-04-06,San Francisco,MGR-UA6P9WXQ
EMP-77GH41UK,Operations,47634.86,2.26,1,2018-09-27,Boston,MGR-2VU4LYY3
EMP-6HMRYI02,HR,81940.51,3.33,0,2023-02-13,Chicago,MGR-0WLX8DBT
